name,fsa,city,province,shares,lat,lon,tier,cluster,income,age,nearest_city,dist_to_cityhall_km,time_to_cityhall_min,dist_to_airport_km,time_to_airport_min,airport_distance_category,airport_duration_category,cityhall_distance_category,cityhall_duration_category
Investor 113,V2X,Surrey,BC,41,49.151893,-122.779547,Low,Potential Contacts,93.0,51.5,Vancouver,95.98,86.1,114.31,106.9,Nearby - up to 30 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 114,V3X,Vancouver,BC,34,49.278773,-123.148032,High,Pending Contact Method,127.3,46.9,Vancouver,96.19,23.0,38.67,56.2,Nearby - up to 30 km,Very Close - up to 15 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 115,V4X,Langley,BC,56,49.100737,-122.693127,High,High-Potential Contacts,103.0,45.8,Vancouver,36.26,48.5,146.04,54.5,Medium Range - up to 100 km,Close - up to 30 min,Distant - More than 300 km,Close - up to 30 min
Investor 116,V5X,Nanaimo,BC,180,49.123999,-123.952297,Medium,Potential Contacts,114.2,36.4,Vancouver,152.11,12.6,17.22,95.6,Distant - More than 300 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Close - up to 30 min
Investor 117,V6X,Coquitlam,BC,373,49.26295,-122.784769,High,High-Potential Contacts,78.1,50.7,Vancouver,57.38,87.1,93.8,77.3,Distant - More than 300 km,Close - up to 30 min,Local - up to 10 km,Very Close - up to 15 min
Investor 118,V7X,Surrey,BC,179,49.070487,-122.791418,Top,Top Priority Contacts,66.3,56.0,Vancouver,18.87,52.0,24.07,91.2,Distant - More than 300 km,Close - up to 30 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 119,V8X,Burnaby,BC,34,49.234435,-122.946784,Top,High-Potential Contacts,75.7,54.3,Vancouver,193.83,37.9,149.0,81.9,Distant - More than 300 km,Moderate - up to 60 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 120,V9X,Nanaimo,BC,257,49.132977,-123.980634,Top,Top Priority Contacts,68.6,48.7,Vancouver,114.36,14.1,77.8,11.0,Distant - More than 300 km,Very Close - up to 15 min,Local - up to 10 km,Moderate - up to 60 min
Investor 121,V0X,Victoria,BC,150,48.467018,-123.414623,Medium,Top Priority Contacts,129.2,61.6,Vancouver,84.08,49.7,130.51,108.0,Distant - More than 300 km,Close - up to 30 min,Local - up to 10 km,Very Close - up to 15 min
Investor 122,V1X,Victoria,BC,88,48.441842,-123.373929,High,High-Potential Contacts,89.1,51.6,Vancouver,128.08,29.3,96.08,103.2,Nearby - up to 30 km,Moderate - up to 60 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 123,V2X,Kelowna,BC,298,49.908178,-119.46209,Top,Potential Contacts,83.9,52.0,Vancouver,124.3,12.0,53.39,102.4,Distant - More than 300 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Close - up to 30 min
Investor 124,V3X,Langley,BC,171,49.072574,-122.666508,Top,Pending Contact Method,136.8,45.7,Vancouver,23.26,18.9,89.3,102.9,Local - up to 10 km,Very Close - up to 15 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 125,V4X,Kelowna,BC,145,49.895232,-119.455834,Low,Top Priority Contacts,97.0,45.1,Vancouver,193.41,31.5,84.0,41.5,Local - up to 10 km,Close - up to 30 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 126,V5X,Kelowna,BC,63,49.867191,-119.542168,Medium,Do Not Contact,98.3,49.2,Vancouver,150.94,48.9,46.39,86.4,Local - up to 10 km,Very Close - up to 15 min,Nearby - up to 30 km,Close - up to 30 min
Investor 127,V6X,Abbotsford,BC,111,49.096292,-122.31744,Low,Potential Contacts,93.1,55.2,Vancouver,74.87,111.8,66.34,54.7,Local - up to 10 km,Very Close - up to 15 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 128,V7X,Burnaby,BC,51,49.201039,-123.01801,Medium,Top Priority Contacts,99.9,21.2,Vancouver,61.79,20.5,76.45,80.8,Nearby - up to 30 km,Close - up to 30 min,Distant - More than 300 km,Very Close - up to 15 min
Investor 129,V8X,Langley,BC,259,49.061586,-122.693952,High,Do Not Contact,115.2,48.3,Vancouver,169.16,20.4,122.71,118.3,Nearby - up to 30 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 130,V9X,Burnaby,BC,101,49.209471,-123.013393,Top,Do Not Contact,75.7,41.8,Vancouver,51.62,110.7,144.32,34.0,Medium Range - up to 100 km,Very Close - up to 15 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 131,V0X,Richmond,BC,211,49.125637,-123.146677,Top,Potential Contacts,114.4,53.0,Vancouver,144.68,113.0,25.1,13.5,Distant - More than 300 km,Moderate - up to 60 min,Local - up to 10 km,Moderate - up to 60 min
Investor 132,V1X,Nanaimo,BC,582,49.197981,-123.893508,Low,High-Potential Contacts,119.9,47.7,Vancouver,163.64,49.0,122.54,10.6,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Close - up to 30 min
Investor 133,V2X,Abbotsford,BC,128,49.027044,-122.34543,Low,Top Priority Contacts,103.6,58.5,Vancouver,131.64,30.2,193.83,62.2,Medium Range - up to 100 km,Close - up to 30 min,Local - up to 10 km,Very Close - up to 15 min
Investor 134,V3X,Langley,BC,143,49.106405,-122.641272,High,Low-Potential Contacts,121.1,43.7,Vancouver,127.87,117.3,119.28,74.8,Nearby - up to 30 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 135,V4X,Surrey,BC,139,49.065134,-122.802032,Top,Top Priority Contacts,75.4,52.8,Vancouver,85.41,58.2,179.47,64.6,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 136,V5X,Surrey,BC,39,49.09478,-122.818023,High,Top Priority Contacts,81.8,57.2,Vancouver,114.99,82.4,33.81,23.4,Nearby - up to 30 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 137,V6X,Surrey,BC,274,49.076444,-122.824657,Top,Top Priority Contacts,75.0,59.4,Vancouver,191.73,16.0,46.32,37.4,Medium Range - up to 100 km,Very Close - up to 15 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 138,V7X,Vancouver,BC,92,49.308609,-123.144406,Medium,Low-Potential Contacts,92.4,60.8,Vancouver,20.56,83.9,168.54,91.0,Distant - More than 300 km,Very Close - up to 15 min,Nearby - up to 30 km,Close - up to 30 min
Investor 139,V8X,Kelowna,BC,178,49.882255,-119.451506,High,High-Potential Contacts,72.0,36.3,Vancouver,50.59,86.8,23.39,78.0,Medium Range - up to 100 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 140,V9X,Burnaby,BC,111,49.251464,-122.994082,Top,High-Potential Contacts,99.1,60.1,Vancouver,26.16,80.3,198.83,111.4,Distant - More than 300 km,Moderate - up to 60 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 141,V0X,Nanaimo,BC,132,49.213174,-123.986615,Top,Potential Contacts,77.5,48.9,Vancouver,196.33,59.4,108.36,11.5,Medium Range - up to 100 km,Close - up to 30 min,Distant - More than 300 km,Close - up to 30 min
Investor 142,V1X,Nanaimo,BC,148,49.196368,-123.89756,Top,High-Potential Contacts,107.7,43.4,Vancouver,173.59,65.8,70.7,29.9,Medium Range - up to 100 km,Very Close - up to 15 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 143,V2X,Abbotsford,BC,547,49.02123,-122.277236,Low,Potential Contacts,103.3,37.0,Vancouver,75.36,50.3,194.41,96.9,Distant - More than 300 km,Moderate - up to 60 min,Distant - More than 300 km,Close - up to 30 min
Investor 144,V3X,Langley,BC,149,49.067797,-122.701659,Medium,Do Not Contact,80.7,41.2,Vancouver,3.44,31.3,100.94,86.5,Nearby - up to 30 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 145,V4X,Kelowna,BC,229,49.874394,-119.53338,Medium,Potential Contacts,136.7,47.6,Vancouver,77.79,52.9,80.7,43.9,Distant - More than 300 km,Close - up to 30 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 146,V5X,Langley,BC,126,49.1241,-122.695547,Low,Potential Contacts,111.2,52.5,Vancouver,198.95,16.3,195.29,116.9,Local - up to 10 km,Close - up to 30 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 147,V6X,Nanaimo,BC,401,49.141273,-123.900412,High,Low-Potential Contacts,128.4,42.2,Vancouver,92.21,113.5,27.27,65.1,Medium Range - up to 100 km,Very Close - up to 15 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 148,V7X,Burnaby,BC,300,49.207473,-122.995644,Medium,High-Potential Contacts,84.5,38.4,Vancouver,197.24,63.0,197.67,34.5,Medium Range - up to 100 km,Close - up to 30 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 149,V8X,Surrey,BC,66,49.107154,-122.817389,Low,Do Not Contact,116.5,47.5,Vancouver,44.21,27.4,115.02,59.0,Distant - More than 300 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Close - up to 15 min
Investor 150,V9X,Coquitlam,BC,141,49.286991,-122.774929,Top,Top Priority Contacts,106.7,47.5,Vancouver,44.47,87.9,150.5,54.5,Nearby - up to 30 km,Moderate - up to 60 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 151,V0X,Abbotsford,BC,222,49.032235,-122.272652,Low,Potential Contacts,84.9,57.1,Vancouver,55.63,116.8,13.49,97.8,Distant - More than 300 km,Very Close - up to 15 min,Local - up to 10 km,Very Close - up to 15 min
Investor 152,V1X,Langley,BC,64,49.081683,-122.679899,High,Do Not Contact,84.5,52.4,Vancouver,78.94,100.3,78.65,111.1,Nearby - up to 30 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 153,V2X,Nanaimo,BC,97,49.133864,-123.934898,High,Potential Contacts,129.5,61.4,Vancouver,118.55,103.0,65.06,20.5,Local - up to 10 km,Very Long Trip - More than 120 min,Local - up to 10 km,Moderate - up to 60 min
Investor 154,V3X,Kelowna,BC,175,49.901779,-119.451022,Top,Top Priority Contacts,51.4,52.9,Vancouver,78.9,62.0,111.13,104.7,Nearby - up to 30 km,Moderate - up to 60 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 155,V4X,Nanaimo,BC,56,49.210257,-123.952776,High,Do Not Contact,76.1,56.6,Vancouver,132.28,69.8,2.12,29.4,Distant - More than 300 km,Moderate - up to 60 min,Distant - More than 300 km,Very Close - up to 15 min
Investor 156,V5X,Nanaimo,BC,116,49.200637,-123.947203,Low,Potential Contacts,124.8,55.0,Vancouver,193.04,63.6,29.09,118.1,Local - up to 10 km,Moderate - up to 60 min,Local - up to 10 km,Very Close - up to 15 min
Investor 157,V6X,Vancouver,BC,708,49.296789,-123.147026,Medium,Pending Contact Method,63.2,47.9,Vancouver,65.61,52.9,78.47,72.2,Local - up to 10 km,Close - up to 30 min,Nearby - up to 30 km,Close - up to 30 min
Investor 158,V7X,Victoria,BC,310,48.443682,-123.38288,High,Potential Contacts,134.0,54.7,Vancouver,123.63,21.3,50.04,108.1,Distant - More than 300 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 159,V8X,Burnaby,BC,281,49.247725,-122.984189,High,Pending Contact Method,85.6,41.9,Vancouver,139.09,100.0,12.19,36.2,Distant - More than 300 km,Very Long Trip - More than 120 min,Local - up to 10 km,Close - up to 30 min
Investor 160,V9X,Nanaimo,BC,101,49.144101,-123.933683,Low,Low-Potential Contacts,84.9,61.3,Vancouver,141.87,75.2,154.92,112.4,Local - up to 10 km,Close - up to 30 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 161,V0X,Surrey,BC,144,49.144667,-122.847367,Top,Do Not Contact,80.2,55.0,Vancouver,139.95,103.0,157.18,58.0,Nearby - up to 30 km,Moderate - up to 60 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 162,V1X,Nanaimo,BC,170,49.159171,-123.929776,Top,Potential Contacts,129.0,57.3,Vancouver,160.21,21.1,177.56,108.4,Distant - More than 300 km,Moderate - up to 60 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 163,V2X,Abbotsford,BC,66,49.040698,-122.322943,Top,Potential Contacts,138.4,47.3,Vancouver,95.5,118.0,119.22,113.9,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 164,V3X,Abbotsford,BC,204,49.007056,-122.271401,Top,Pending Contact Method,83.3,40.7,Vancouver,96.18,56.9,137.25,62.2,Nearby - up to 30 km,Moderate - up to 60 min,Local - up to 10 km,Close - up to 30 min
Investor 165,V4X,Langley,BC,421,49.059098,-122.664413,Top,High-Potential Contacts,92.4,42.7,Vancouver,105.94,70.4,146.54,88.2,Medium Range - up to 100 km,Close - up to 30 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 166,V5X,Abbotsford,BC,541,49.090261,-122.273027,High,Do Not Contact,80.7,35.9,Vancouver,161.16,63.4,100.9,69.9,Distant - More than 300 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 167,V6X,Victoria,BC,107,48.416947,-123.339353,High,Do Not Contact,94.2,54.1,Vancouver,35.23,96.4,80.54,104.6,Nearby - up to 30 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 168,V7X,Burnaby,BC,139,49.266335,-122.999097,Medium,Low-Potential Contacts,107.9,45.2,Vancouver,100.01,49.2,95.99,43.7,Local - up to 10 km,Moderate - up to 60 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 169,V8X,Burnaby,BC,215,49.221263,-123.026358,High,Low-Potential Contacts,87.8,54.7,Vancouver,62.15,51.5,69.43,92.4,Distant - More than 300 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 170,V9X,Nanaimo,BC,51,49.207974,-123.925654,Low,High-Potential Contacts,124.9,48.9,Vancouver,164.52,19.9,1.52,79.7,Local - up to 10 km,Very Close - up to 15 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 171,V0X,Vancouver,BC,406,49.329647,-123.119964,Medium,High-Potential Contacts,125.4,56.9,Vancouver,172.75,114.5,176.56,100.6,Medium Range - up to 100 km,Close - up to 30 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 172,V1X,Victoria,BC,238,48.388593,-123.404433,Top,Do Not Contact,107.8,49.8,Vancouver,79.53,19.2,118.93,11.6,Local - up to 10 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 173,V2X,Nanaimo,BC,49,49.15595,-123.972787,High,Low-Potential Contacts,64.3,51.6,Vancouver,16.37,85.6,143.06,53.4,Local - up to 10 km,Close - up to 30 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 174,V3X,Nanaimo,BC,211,49.209131,-123.972057,Medium,Potential Contacts,111.2,39.1,Vancouver,127.98,30.1,144.87,84.6,Local - up to 10 km,Very Long Trip - More than 120 min,Local - up to 10 km,Close - up to 30 min
Investor 175,V4X,Richmond,BC,306,49.128136,-123.085457,Medium,Pending Contact Method,98.4,61.8,Vancouver,162.32,71.1,71.12,42.5,Distant - More than 300 km,Close - up to 30 min,Nearby - up to 30 km,Close - up to 30 min
Investor 176,V5X,Richmond,BC,103,49.211229,-123.177393,Top,Do Not Contact,122.7,47.6,Vancouver,3.26,90.9,172.71,115.4,Medium Range - up to 100 km,Moderate - up to 60 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 177,V6X,Langley,BC,311,49.116779,-122.660674,Medium,Do Not Contact,72.0,41.9,Vancouver,31.49,23.9,154.87,82.7,Medium Range - up to 100 km,Very Close - up to 15 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 178,V7X,Vancouver,BC,200,49.279095,-123.095607,Medium,Pending Contact Method,73.3,36.6,Vancouver,114.17,114.3,91.12,60.9,Nearby - up to 30 km,Close - up to 30 min,Nearby - up to 30 km,Close - up to 30 min
Investor 179,V8X,Coquitlam,BC,277,49.32946,-122.778776,High,Pending Contact Method,52.6,49.4,Vancouver,86.2,18.4,101.5,99.4,Distant - More than 300 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 180,V9X,Kelowna,BC,145,49.846466,-119.531686,Low,Low-Potential Contacts,97.7,45.7,Vancouver,98.87,45.0,43.54,113.8,Local - up to 10 km,Very Close - up to 15 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 181,V0X,Coquitlam,BC,231,49.261391,-122.825295,Low,Low-Potential Contacts,95.9,45.8,Vancouver,65.98,11.8,194.58,66.3,Medium Range - up to 100 km,Very Close - up to 15 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 182,V1X,Coquitlam,BC,198,49.306332,-122.76247,Top,Do Not Contact,86.1,30.9,Vancouver,198.86,55.4,22.83,62.0,Distant - More than 300 km,Close - up to 30 min,Distant - More than 300 km,Close - up to 30 min
Investor 183,V2X,Nanaimo,BC,369,49.12525,-123.942984,Medium,Potential Contacts,101.1,57.9,Vancouver,61.13,87.8,129.54,106.6,Medium Range - up to 100 km,Moderate - up to 60 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 184,V3X,Coquitlam,BC,181,49.270872,-122.792426,Top,Top Priority Contacts,83.5,48.7,Vancouver,47.76,14.9,177.08,58.5,Local - up to 10 km,Very Long Trip - More than 120 min,Local - up to 10 km,Very Close - up to 15 min
Investor 185,V4X,Burnaby,BC,95,49.295661,-122.95439,Low,Low-Potential Contacts,116.1,44.2,Vancouver,81.71,45.6,77.39,24.1,Local - up to 10 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Close - up to 30 min
Investor 186,V5X,Langley,BC,204,49.132195,-122.621157,High,Potential Contacts,90.2,44.7,Vancouver,62.64,41.4,26.59,86.5,Local - up to 10 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 187,V6X,Coquitlam,BC,53,49.244614,-122.768904,High,Top Priority Contacts,134.7,57.1,Vancouver,23.68,108.0,139.46,119.5,Distant - More than 300 km,Moderate - up to 60 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 188,V7X,Surrey,BC,149,49.069431,-122.812194,Top,Top Priority Contacts,87.9,54.2,Vancouver,136.79,99.7,55.1,105.2,Nearby - up to 30 km,Very Long Trip - More than 120 min,Local - up to 10 km,Close - up to 30 min
Investor 189,V8X,Abbotsford,BC,237,49.081415,-122.288771,High,Do Not Contact,93.3,32.6,Vancouver,47.23,39.3,183.95,100.4,Distant - More than 300 km,Very Close - up to 15 min,Local - up to 10 km,Moderate - up to 60 min
Investor 190,V9X,Surrey,BC,296,49.09797,-122.75302,Low,Pending Contact Method,30.1,47.0,Vancouver,165.05,106.2,98.7,44.8,Nearby - up to 30 km,Very Long Trip - More than 120 min,Local - up to 10 km,Close - up to 30 min
Investor 191,V0X,Kelowna,BC,143,49.855371,-119.540514,Top,Pending Contact Method,103.1,41.1,Vancouver,78.9,14.7,165.85,50.8,Local - up to 10 km,Very Close - up to 15 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 192,V1X,Langley,BC,248,49.055129,-122.621972,High,Low-Potential Contacts,69.0,40.6,Vancouver,176.56,34.8,138.34,105.7,Nearby - up to 30 km,Close - up to 30 min,Local - up to 10 km,Very Close - up to 15 min
Investor 193,V2X,Abbotsford,BC,93,49.098686,-122.34049,High,Low-Potential Contacts,37.2,46.0,Vancouver,95.73,59.6,3.4,41.0,Medium Range - up to 100 km,Close - up to 30 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 194,V3X,Abbotsford,BC,77,49.098585,-122.303105,Low,High-Potential Contacts,63.8,36.7,Vancouver,19.09,14.0,187.81,73.1,Local - up to 10 km,Very Close - up to 15 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 195,V4X,Abbotsford,BC,124,49.083883,-122.35227,Low,Potential Contacts,103.5,48.8,Vancouver,72.98,79.7,126.88,94.2,Distant - More than 300 km,Moderate - up to 60 min,Nearby - up to 30 km,Close - up to 30 min
Investor 196,V5X,Langley,BC,859,49.114443,-122.683557,Top,High-Potential Contacts,83.0,52.8,Vancouver,192.54,28.4,88.41,85.4,Medium Range - up to 100 km,Very Close - up to 15 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 197,V6X,Victoria,BC,314,48.451689,-123.321881,High,Pending Contact Method,90.2,19.1,Vancouver,170.36,25.9,161.02,38.2,Distant - More than 300 km,Moderate - up to 60 min,Local - up to 10 km,Close - up to 30 min
Investor 198,V7X,Nanaimo,BC,116,49.165028,-123.931137,Low,Top Priority Contacts,74.0,44.3,Vancouver,19.55,21.6,23.03,94.6,Nearby - up to 30 km,Very Long Trip - More than 120 min,Local - up to 10 km,Very Close - up to 15 min
Investor 199,V8X,Coquitlam,BC,109,49.308507,-122.745339,Medium,High-Potential Contacts,88.5,58.5,Vancouver,38.75,106.3,58.38,105.1,Distant - More than 300 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 200,V9X,Nanaimo,BC,112,49.151537,-123.898888,Top,Top Priority Contacts,111.1,60.4,Vancouver,183.01,37.3,132.24,83.1,Local - up to 10 km,Very Close - up to 15 min,Medium Range - up to 100 km,Close - up to 30 min
